FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 5000000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 100000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 33333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 50000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 25000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 16666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 12500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 8333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 5555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 4166666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 2777777, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 5000000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 100000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 33333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 50000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 25000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 16666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 12500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 8333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 5555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 4166666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 2777777, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 5000000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 100000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 33333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 50000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 25000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 16666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 12500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 8333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 5555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 4166666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 2777777, tag: 
