FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 500000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 5000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 2500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 1666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 1250000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 1000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 833333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 416666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 1,shots 277777, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 500000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 5000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 2500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 1666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 1250000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 1000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 833333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 416666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 2,shots 277777, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 500000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 10000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 3333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 5000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 2500000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 1666666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 1250000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 1000000, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 833333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 555555, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 416666, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 333333, tag: 
FAILED qubit 4,depth 0, seed:0, nlsp 3,shots 277777, tag: 
